NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,CouponUsed
6,false,12,1,0,121.8557688,true,7,Phone,3,16,E wallet,Female,3,4,Phone,4,Single,0
5,false,14,5,9,165.52421651,false,9,Phone,3,10,E wallet,Female,3,4,Laptop & Accessory,5,Married,5
4,false,24,2,3,167.25245122,false,7,Phone,1,11,CC,Male,4,4,Laptop & Accessory,5,Divorced,1
3,false,14,2,1,151.51430416,true,11,Computer,1,9,COD,Male,4,5,Phone,3,Single,2
2,false,23,3,2,131.93806619,true,0,Phone,1,30,Debit Card,Female,2,3,Phone,1,Married,1
7,false,13,2,9,245.65960302,false,26,Phone,1,22,CC,Male,3,4,Grocery,2,Single,1
5,false,12,2,8,233.11341404,false,25,Computer,1,23,CC,Male,4,4,Fashion,3,Married,1
3,false,24,2,1,145.94330802,true,1,Phone,1,9,Debit Card,Female,3,6,Phone,5,Single,2
2,true,20,2,1,123.18553088,true,0,Phone,3,14,Debit Card,Male,3,4,Phone,5,Single,2
2,false,14,2,8,203.50798075,false,9,Phone,3,33,E wallet,Female,4,4,Laptop & Accessory,3,Married,1
2,false,13,2,17,121.06415266,false,14,Computer,1,19,CC,Male,2,3,Phone,3,Married,0
5,true,20,1,2,146.4335583,false,10,Phone,1,36,Debit Card,Female,3,3,Laptop & Accessory,3,Married,0
3,false,23,2,7,145.54062131,true,1,Phone,3,31,COD,Female,3,4,Phone,4,Divorced,1
2,true,18,7,3,281.849491,false,28,Phone,1,8,Debit Card,Male,2,3,Others,3,Divorced,7
11,false,19,2,3,242.20678134,false,28,Phone,1,30,Debit Card,Male,4,4,Fashion,5,Married,4
11,true,14,4,8,163.51926455,false,3,Phone,1,25,CC,Female,4,5,Laptop & Accessory,3,Married,4
3,false,20,2,3,150.41336473,false,1,Phone,1,23,COD,Female,4,4,Phone,5,Single,1
3,false,14,2,5,174.26317836,false,1,Phone,1,23,CC,Male,4,4,Laptop & Accessory,5,Married,2
5,false,15,2,1,155.01234115,false,9,Computer,1,9,CC,Female,3,4,Phone,4,Married,1
1,false,12,1,0,125.47026607,false,28,Computer,1,14,CC,Male,3,1,Phone,4,Married,0
3,false,16,1,3,158.28370705,false,13,Phone,1,19,CC,Male,2,4,Laptop & Accessory,1,Married,0
1,false,11,2,7,136.35368923,false,9,Computer,3,5,UPI,Male,3,4,Laptop & Accessory,4,Single,0
2,false,14,2,3,145.37164226,false,5,Phone,3,19,Debit Card,Female,3,5,Phone,3,Married,2
9,false,19,1,7,190.8789297,false,11,Phone,1,6,COD,Female,3,4,Laptop & Accessory,2,Married,0
3,false,18,2,1,168.56310072,true,1,Computer,3,22,Debit Card,Male,3,4,Laptop & Accessory,1,Single,1
3,false,14,13,9,157.34979115,false,16,Phone,1,35,CC,Male,4,6,Phone,4,Married,3
4,false,18,2,10,251.2532146,false,5,Phone,3,9,Debit Card,Female,3,2,Grocery,4,Married,2
7,false,11,2,1,282.87410917,false,16,Phone,1,31,Debit Card,Female,2,2,Grocery,3,Married,2
4,false,18,2,6,189.23894698,false,14,Phone,3,36,Debit Card,Male,3,4,Laptop & Accessory,1,Married,1
6,false,13,2,1,172.60697681,false,13,Computer,1,17,CC,Female,3,4,Laptop & Accessory,3,Married,1
9,false,12,7,7,120.74825476,false,10,Phone,1,19,COD,Female,4,3,Phone,4,Married,0
2,false,24,1,3,144.58239449,true,15,Computer,3,6,E wallet,Male,3,5,Laptop & Accessory,3,Single,1
9,false,12,1,4,149.79097848,false,18,Phone,3,8,E wallet,Male,3,3,Laptop & Accessory,2,Single,0
5,false,14,1,3,140.38834204,false,17,Phone,1,29,UPI,Female,4,2,Phone,5,Single,1
3,true,20,10,10,181.93459618,false,19,Computer,1,14,CC,Female,3,5,Laptop & Accessory,5,Married,2
3,false,13,2,2,233.63758913,false,13,Phone,1,14,Debit Card,Female,3,4,Grocery,3,Divorced,2
4,true,12,1,2,142.59726511,true,0,Phone,3,27,Debit Card,Male,3,3,Laptop & Accessory,5,Single,1
2,false,14,1,4,162.37507196,false,15,Phone,3,6,E wallet,Male,2,3,Laptop & Accessory,2,Married,0
4,true,11,1,8,204.6852512,false,25,Phone,1,25,CC,Male,2,3,Fashion,1,Married,3
2,false,17,2,1,232.34239168,false,10,Phone,1,14,Debit Card,Male,4,4,Fashion,3,Divorced,1
5,true,13,1,0,163.76239878,false,11,Phone,1,35,Debit Card,Male,3,4,Laptop & Accessory,5,Married,0
9,true,15,2,3,157.47007863,true,10,Phone,3,10,Debit Card,Male,4,4,Laptop & Accessory,2,Single,1
3,false,14,2,8,149.68255814,false,10,Phone,1,7,Debit Card,Male,3,5,Phone,2,Single,1
9,false,15,2,1,307.09343598,false,23,Phone,1,21,CC,Female,2,4,Others,5,Married,0
1,false,14,1,2,130.36581694,false,2,Phone,1,19,E wallet,Male,2,3,Phone,4,Single,1
6,false,15,2,3,234.51740962,false,26,Phone,3,9,E wallet,Female,4,2,Fashion,5,Divorced,1
4,false,14,1,7,157.14103286,false,16,Phone,1,9,CC,Female,2,3,Laptop & Accessory,3,Married,0
5,true,21,2,5,194.0449858,false,13,Phone,1,25,Debit Card,Female,4,5,Laptop & Accessory,3,Married,1
6,false,14,3,3,172.26254243,true,1,Computer,1,7,Debit Card,Male,4,4,Phone,3,Divorced,2
1,false,11,1,5,120.93553408,false,9,Phone,1,18,COD,Male,2,3,Phone,3,Single,0
3,false,17,2,4,182.40828795,false,9,Phone,3,9,E wallet,Male,4,4,Laptop & Accessory,3,Married,1
7,true,14,2,4,165.33928791,false,31,Phone,1,10,CC,Female,3,3,Laptop & Accessory,5,Married,1
3,false,15,2,8,299.26848811,false,3,Phone,2,17,Debit Card,Male,4,5,Grocery,3,Married,2
4,false,13,1,2,165.33796832,false,5,Computer,1,6,Debit Card,Male,2,4,Laptop & Accessory,4,Single,0
2,false,15,2,4,171.20519357,false,10,Phone,1,9,UPI,Female,3,4,Laptop & Accessory,2,Divorced,2
6,false,16,1,0,142.6036622,true,0,Phone,3,29,CC,Male,3,4,Laptop & Accessory,2,Single,0
3,false,19,2,2,174.31794169,true,1,Phone,3,16,COD,Male,3,4,Laptop & Accessory,1,Single,1
10,false,14,2,0,123.08309145,false,8,Computer,1,16,Debit Card,Male,3,3,Phone,4,Single,0
3,true,15,2,8,244.64465767,false,23,Phone,1,7,CC,Female,3,4,Fashion,3,Married,2
2,false,14,6,10,294.87078782,false,0,Phone,3,28,CC,Male,2,4,Laptop & Accessory,1,Married,5
4,false,15,8,3,171.37623717,false,7,Phone,3,8,E wallet,Female,3,3,Fashion,3,Married,2
3,false,15,6,9,159.02223296,false,6,Phone,1,24,CC,Male,3,4,Phone,3,Divorced,3
3,false,14,2,2,146.61914524,false,11,Computer,3,29,CC,Male,4,3,Laptop & Accessory,2,Married,2
2,true,19,1,0,118.68551981,true,1,Computer,1,13,COD,Male,3,3,Phone,2,Divorced,0
2,false,15,6,3,212.01523152,false,3,Computer,1,25,CC,Female,4,4,Fashion,5,Married,4
6,true,19,2,4,172.95663021,false,4,Computer,1,8,UPI,Male,3,4,Laptop & Accessory,5,Married,1
9,true,12,1,2,174.85646661,false,25,Phone,1,16,Debit Card,Female,3,3,Fashion,5,Divorced,1
8,false,17,1,4,143.11299224,false,0,Phone,1,8,CC,Female,2,3,Laptop & Accessory,5,Married,0
9,true,20,8,10,175.50130782,true,4,Computer,3,22,CC,Female,3,3,Laptop & Accessory,4,Married,5
11,false,20,2,1,164.26861259,false,3,Phone,1,10,Debit Card,Male,3,5,Phone,4,Married,1
2,false,20,1,3,121.16901799,false,21,Computer,1,9,CC,Female,3,4,Phone,2,Divorced,0
3,true,13,2,1,150.46432239,true,1,Computer,1,17,COD,Female,4,5,Phone,5,Single,1
2,true,11,1,0,120.88260066,true,0,Computer,3,8,Debit Card,Male,3,5,Phone,1,Single,1
3,false,12,2,2,128.03030196,false,3,Phone,1,10,CC,Female,3,1,Phone,4,Married,1
11,false,13,2,10,193.84923578,false,4,Computer,2,26,Debit Card,Female,4,6,Fashion,3,Married,2
6,true,13,12,10,304.26131973,false,12,Phone,1,9,COD,Male,3,5,Grocery,4,Divorced,4
8,false,15,2,8,319.85011143,false,31,Phone,1,21,Debit Card,Male,4,4,Others,4,Married,2
8,false,15,3,3,150.25741784,false,19,Phone,1,10,Debit Card,Male,4,4,Phone,3,Single,1
2,true,17,1,7,204.06899846,false,24,Computer,3,18,CC,Female,2,1,Grocery,1,Married,0
2,false,15,1,7,127.59206279,false,4,Phone,1,7,CC,Male,3,4,Phone,1,Married,0
2,false,13,2,11,152.33465467,false,4,Computer,3,14,Debit Card,Female,2,4,Laptop & Accessory,2,Divorced,2
3,false,17,2,3,158.70432916,false,9,Phone,3,10,Debit Card,Female,4,4,Phone,3,Married,2
4,false,18,7,7,127.15307514,false,11,Computer,1,27,UPI,Male,2,3,Phone,2,Divorced,2
2,false,13,1,4,127.63452242,true,20,Phone,1,6,CC,Male,3,3,Phone,4,Single,0
3,false,12,3,3,150.669945,false,1,Phone,1,7,Debit Card,Male,3,4,Phone,3,Married,1
3,false,14,2,8,155.76698479,false,5,Computer,1,10,COD,Male,3,5,Phone,3,Married,1
2,false,11,1,4,139.92990206,false,5,Computer,3,8,CC,Male,2,3,Phone,3,Married,0
1,false,11,2,4,146.75968102,true,2,Computer,3,9,E wallet,Male,3,4,Phone,5,Divorced,1
4,false,19,5,3,223.11852519,false,12,Phone,3,17,CC,Female,4,4,Fashion,5,Married,1
3,false,15,2,1,209.99769252,true,1,Phone,3,17,E wallet,Male,4,5,Fashion,1,Single,1
9,true,17,1,0,161.71791914,true,0,Phone,3,13,COD,Female,3,5,Laptop & Accessory,1,Single,1
4,false,12,2,7,171.54336053,false,9,Phone,3,10,Debit Card,Female,4,5,Fashion,5,Single,2
1,false,18,1,1,134.68512514,false,5,Computer,1,13,Debit Card,Male,2,2,Phone,1,Married,1
4,true,19,2,3,146.09785343,false,31,Phone,1,7,UPI,Female,4,4,Phone,3,Married,2
3,false,12,2,8,182.59583823,false,3,Computer,3,23,CC,Female,3,5,Laptop & Accessory,5,Single,2
6,true,13,2,1,167.58524644,false,31,Phone,1,7,Debit Card,Male,3,4,Laptop & Accessory,3,Single,2
10,false,15,1,1,293.41052544,false,19,Phone,2,7,CC,Male,2,1,Others,3,Married,2
4,false,23,2,4,150.50150264,false,11,Phone,1,7,Debit Card,Male,3,4,Phone,1,Married,1
2,true,13,3,6,169.25431974,true,1,Phone,3,9,CC,Male,4,4,Phone,1,Married,1
2,true,20,2,1,154.81421109,true,7,Phone,1,17,COD,Female,4,5,Phone,3,Married,1
2,false,15,1,1,145.81140367,true,0,Phone,3,24,Debit Card,Male,3,3,Laptop & Accessory,1,Divorced,0
2,false,19,2,2,234.08300766,false,2,Computer,1,6,CC,Male,2,5,Fashion,1,Married,2
6,false,20,3,3,145.61979583,false,9,Phone,1,8,CC,Male,3,5,Phone,1,Married,3
5,false,13,1,0,120.55799672,false,9,Computer,1,17,CC,Female,3,3,Fashion,5,Married,0
4,false,14,1,3,271.47737341,false,20,Phone,2,8,Debit Card,Male,3,3,Grocery,3,Single,1
3,false,11,8,1,151.85561947,true,1,Computer,3,8,CC,Male,3,4,Grocery,3,Married,8
3,false,12,2,1,143.5657596,true,1,Phone,1,17,COD,Female,4,5,Phone,3,Single,2
1,false,20,1,3,177.92114806,false,9,Computer,3,12,Debit Card,Female,2,3,Laptop & Accessory,3,Single,1
3,false,15,2,9,181.22595405,false,5,Phone,3,17,COD,Male,3,4,Laptop & Accessory,4,Married,1
4,false,14,2,1,161.30721467,false,27,Phone,1,15,CC,Female,4,4,Phone,3,Married,2
1,false,14,1,5,153.71484095,false,13,Phone,1,17,CC,Male,2,3,Laptop & Accessory,4,Divorced,0
6,false,12,2,1,146.19294415,false,19,Phone,1,13,CC,Female,4,5,Phone,3,Single,2
6,false,23,4,8,157.99008272,true,4,Phone,1,31,Debit Card,Female,3,3,Laptop & Accessory,1,Divorced,0
5,false,17,1,3,148.11249639,false,8,Computer,1,11,Debit Card,Male,3,4,Phone,2,Divorced,1
2,true,21,1,3,175.95491254,false,8,Phone,1,23,CC,Female,2,3,Fashion,3,Married,0
4,false,16,2,1,241.40180174,false,28,Phone,1,9,CC,Female,4,5,Fashion,2,Married,12
3,false,15,2,5,182.5768588,false,1,Phone,3,17,E wallet,Male,3,4,Laptop & Accessory,4,Married,1
4,false,17,5,10,165.61297179,false,17,Computer,3,15,E wallet,Female,4,4,Laptop & Accessory,5,Single,4
6,false,22,2,1,144.18738363,false,10,Phone,3,8,E wallet,Male,4,2,Laptop & Accessory,4,Married,1
7,false,11,1,5,232.15754598,false,14,Phone,3,31,Debit Card,Female,2,4,Grocery,5,Married,0
3,false,19,2,3,220.2339989,false,18,Phone,1,11,Debit Card,Male,3,4,Fashion,3,Divorced,2
2,true,16,1,2,173.75466826,false,0,Phone,1,24,CC,Female,4,4,Fashion,5,Married,0
3,true,12,6,4,158.16813455,false,3,Phone,1,8,CC,Female,2,5,Laptop & Accessory,1,Married,1
3,false,22,3,3,220.7397182,false,8,Computer,3,22,E wallet,Female,3,4,Fashion,3,Married,2
1,true,17,1,2,161.73224947,true,0,Computer,1,14,Debit Card,Male,2,1,Laptop & Accessory,5,Divorced,0
6,false,19,2,1,147.79533104,false,20,Phone,1,7,CC,Female,3,4,Phone,4,Married,2
3,true,13,7,12,204.24235208,false,9,Phone,1,23,CC,Male,3,4,Fashion,5,Married,4
2,true,24,2,7,148.94511352,false,4,Phone,1,8,COD,Female,2,4,Phone,4,Married,1
2,false,15,5,8,171.81589074,false,3,Phone,1,16,Debit Card,Male,4,4,Laptop & Accessory,5,Married,5
2,false,13,2,12,203.12933142,true,9,Phone,1,21,CC,Female,4,4,Fashion,4,Divorced,1
3,false,14,2,1,192.80121049,false,11,Phone,3,17,Debit Card,Male,4,5,Phone,5,Married,1
5,false,15,7,10,171.62834727,false,10,Computer,1,9,UPI,Male,4,4,Laptop & Accessory,4,Divorced,7
2,true,16,1,0,128.92945792,false,0,Phone,1,7,Debit Card,Female,3,4,Phone,3,Single,1
4,false,12,2,3,170.9975892,false,23,Phone,1,9,Debit Card,Male,4,4,Laptop & Accessory,3,Married,2
4,false,23,1,0,172.42517354,false,9,Phone,3,15,E wallet,Male,3,4,Laptop & Accessory,1,Single,0
5,false,13,2,12,258.40018933,false,23,Phone,1,27,Debit Card,Male,3,2,Grocery,4,Single,2
2,false,22,1,3,222.8774817,false,8,Phone,3,17,E wallet,Male,3,4,Fashion,3,Married,1
2,false,22,2,3,153.06665407,false,2,Phone,2,33,CC,Male,3,5,Phone,4,Single,1
2,false,19,2,1,158.76493028,false,3,Computer,1,9,CC,Male,4,4,Phone,2,Divorced,2
6,false,23,2,1,154.63841754,false,16,Phone,1,12,CC,Female,3,4,Phone,3,Divorced,2
3,true,23,2,3,256.44891747,false,1,Phone,3,14,Debit Card,Female,3,4,Fashion,3,Married,2
3,false,18,2,1,139.03786926,false,5,Computer,3,15,E wallet,Female,3,5,Phone,1,Married,2
3,false,24,9,10,202.6376089,false,18,Phone,2,32,CC,Male,2,4,Fashion,1,Married,8
2,true,12,2,9,143.07874121,false,8,Phone,1,10,Debit Card,Male,3,4,Laptop & Accessory,5,Married,0
5,false,25,13,3,322.9929921,false,22,Computer,3,14,Debit Card,Male,3,3,Others,1,Married,6
3,false,15,6,5,298.65649616,false,19,Phone,3,15,COD,Male,3,3,Grocery,1,Married,8
2,false,12,3,3,227.13853859,false,2,Phone,1,9,CC,Female,4,5,Fashion,4,Married,2
5,true,14,2,5,202.60304951,false,8,Phone,3,9,E wallet,Male,3,5,Laptop & Accessory,1,Divorced,2
2,false,12,6,8,146.9969397,false,10,Phone,1,17,Debit Card,Female,4,4,Phone,3,Married,4
4,false,23,2,3,146.87899486,false,9,Phone,3,7,Debit Card,Male,4,4,Phone,5,Married,1
3,true,16,2,2,168.02825615,false,6,Phone,3,15,E wallet,Female,3,5,Laptop & Accessory,4,Divorced,1
2,false,24,2,8,198.38208823,false,2,Phone,1,14,UPI,Male,2,5,Fashion,4,Married,0
2,false,15,8,7,175.73273366,false,7,Computer,3,15,CC,Male,3,4,Fashion,4,Married,4
7,false,13,2,1,193.23114405,false,16,Computer,1,25,CC,Female,4,4,Laptop & Accessory,5,Married,1
2,false,11,3,7,165.8427663,false,10,Phone,3,19,E wallet,Female,2,3,Laptop & Accessory,5,Single,3
1,true,16,5,5,175.65201681,false,9,Phone,3,20,E wallet,Female,3,4,Laptop & Accessory,5,Married,0
3,false,13,2,2,150.95548341,false,19,Phone,3,8,Debit Card,Male,2,1,Laptop & Accessory,1,Single,2
3,true,12,10,4,169.26680612,true,1,Phone,3,14,Debit Card,Male,4,4,Phone,3,Single,7
6,false,15,2,1,316.36347396,false,29,Phone,1,17,CC,Male,3,4,Grocery,3,Married,2
8,false,12,13,2,162.92101347,false,0,Computer,1,21,Debit Card,Male,2,4,Laptop & Accessory,2,Married,3
7,true,19,1,4,121.49689439,false,20,Phone,2,7,UPI,Male,2,3,Phone,3,Married,0
5,true,12,2,5,166.96981477,false,5,Phone,3,11,E wallet,Female,4,4,Laptop & Accessory,4,Married,2
3,false,19,2,1,146.10072119,true,1,Phone,1,12,CC,Male,3,2,Phone,5,Single,2
7,false,15,2,5,307.59025975,false,16,Phone,3,9,Debit Card,Female,4,6,Grocery,1,Single,1
2,true,15,2,14,312.32212862,false,29,Phone,1,16,Debit Card,Female,4,5,Others,1,Married,1
2,false,16,2,8,238.01563106,false,13,Phone,1,8,COD,Male,3,4,Fashion,1,Single,0
10,false,12,5,3,230.04128796,true,1,Computer,3,15,Debit Card,Female,3,4,Fashion,1,Married,6
5,false,23,2,1,256.24764559,false,26,Phone,3,10,Debit Card,Male,3,2,Fashion,3,Married,2
8,false,16,5,5,204.33474041,false,27,Phone,1,31,CC,Female,3,3,Fashion,1,Married,1
3,true,14,2,8,168.19069603,false,9,Computer,1,15,Debit Card,Male,3,2,Laptop & Accessory,2,Single,0
7,false,19,16,3,221.41329164,true,19,Computer,3,28,COD,Male,3,4,Fashion,3,Single,8
3,false,12,1,1,193.54121614,false,4,Phone,1,8,CC,Male,2,3,Fashion,5,Married,1
5,true,15,1,2,136.27919283,false,25,Computer,1,8,Debit Card,Male,2,5,Phone,2,Married,0
8,false,15,1,3,293.94656773,false,13,Phone,1,6,CC,Female,3,4,Others,2,Married,0
7,false,13,2,8,156.66749694,false,12,Phone,1,12,Debit Card,Male,3,3,Laptop & Accessory,2,Single,0
3,true,19,1,2,194.16292289,true,1,Computer,3,6,Debit Card,Male,2,5,Laptop & Accessory,3,Single,1
8,false,12,9,11,233.29953803,false,13,Phone,1,21,Debit Card,Female,3,4,Fashion,3,Married,8
3,false,22,12,6,175.54532365,false,19,Phone,3,6,CC,Female,2,3,Fashion,5,Married,5
3,false,15,10,7,314.52164587,false,29,Phone,3,12,E wallet,Male,3,4,Others,2,Married,8
2,true,12,10,8,171.6709219,true,1,Computer,1,5,COD,Male,2,3,Fashion,5,Single,4
3,false,16,2,1,163.00698767,true,10,Phone,1,26,UPI,Male,4,4,Phone,4,Married,1
6,false,14,3,3,224.94478022,false,3,Phone,2,24,UPI,Female,3,5,Fashion,2,Divorced,3
2,false,12,1,3,142.68822685,true,0,Computer,3,12,CC,Male,3,5,Laptop & Accessory,2,Single,0
2,false,13,2,8,168.69507104,false,7,Phone,1,7,UPI,Female,3,4,Laptop & Accessory,4,Married,1
2,false,15,1,7,152.46385185,true,0,Phone,3,8,E wallet,Male,2,4,Laptop & Accessory,3,Single,1
10,false,11,1,2,138.60729368,false,7,Computer,1,6,Debit Card,Female,2,3,Phone,5,Single,1
3,false,26,8,8,172.37941012,false,7,Computer,2,7,CC,Male,3,4,Laptop & Accessory,3,Married,5
3,false,13,3,3,184.41640755,false,6,Computer,1,11,Debit Card,Male,3,4,Laptop & Accessory,4,Single,2
4,true,18,1,4,282.43299904,false,29,Phone,1,13,CC,Male,2,3,Others,3,Married,1
3,true,15,2,2,166.58625976,false,19,Phone,1,10,COD,Male,2,3,Laptop & Accessory,3,Divorced,0
4,false,19,2,1,151.10241662,false,3,Phone,1,13,CC,Male,4,4,Phone,5,Married,2
3,true,18,3,1,157.98446159,false,19,Phone,1,23,CC,Male,2,4,Laptop & Accessory,1,Single,2
6,false,22,2,3,242.87781949,false,13,Phone,1,14,CC,Female,3,1,Grocery,1,Divorced,1
2,false,18,1,7,126.13519193,false,22,Computer,1,14,Debit Card,Male,2,3,Phone,1,Married,1
2,false,16,3,11,248.92357845,false,23,Phone,1,11,COD,Male,2,4,Grocery,5,Single,2
4,true,12,8,3,217.56861079,true,12,Computer,2,18,Debit Card,Male,4,3,Fashion,4,Married,3
3,true,18,2,5,188.43011182,false,1,Phone,3,29,E wallet,Male,4,4,Laptop & Accessory,5,Divorced,2
7,true,18,2,2,200.68792947,true,9,Computer,3,29,E wallet,Male,4,4,Fashion,3,Divorced,2
3,false,14,2,1,136.16832686,true,1,Computer,2,32,Debit Card,Female,4,5,Phone,4,Single,2
4,true,23,5,12,288.92528142,false,18,Phone,1,9,CC,Female,3,3,Others,5,Married,1
5,false,14,5,18,185.63623086,false,9,Phone,3,18,UPI,Male,4,4,Laptop & Accessory,1,Married,4
7,false,13,1,2,182.86712116,false,17,Phone,1,6,CC,Male,3,4,Fashion,2,Single,1
1,false,12,1,3,132.31658786,true,3,Computer,1,6,Debit Card,Male,3,5,Phone,3,Single,0
5,false,13,2,9,161.55028193,false,10,Phone,1,12,CC,Male,3,4,Laptop & Accessory,3,Single,1
4,true,19,1,2,165.09311655,false,7,Phone,3,10,E wallet,Male,3,4,Laptop & Accessory,5,Single,0
2,true,23,1,2,153.27427715,false,16,Phone,3,14,CC,Male,3,1,Laptop & Accessory,4,Divorced,1
4,false,15,1,7,193.41881764,false,10,Phone,1,8,CC,Male,2,3,Fashion,5,Divorced,1
2,false,24,1,0,129.49747143,false,0,Phone,1,8,CC,Male,3,4,Phone,3,Single,0
6,false,16,1,9,150.14925022,false,17,Computer,2,11,UPI,Female,2,3,Laptop & Accessory,5,Married,1
2,false,12,1,7,136.84840857,false,22,Computer,1,7,COD,Female,3,3,Phone,3,Married,1
4,true,18,6,10,237.95529903,false,26,Phone,1,10,COD,Female,2,3,Fashion,1,Single,5
5,true,16,2,1,321.77801916,false,14,Phone,1,11,Debit Card,Male,4,4,Others,5,Single,2
4,false,11,2,3,146.27521036,false,10,Phone,3,6,CC,Female,2,2,Laptop & Accessory,5,Divorced,4
6,false,13,2,3,194.5101775,false,4,Computer,1,17,CC,Female,4,5,Laptop & Accessory,3,Divorced,2
2,false,15,2,1,151.75093042,false,19,Phone,1,9,COD,Male,4,4,Phone,4,Married,2
3,true,13,1,8,210.41943719,false,15,Phone,3,31,Debit Card,Male,2,1,Fashion,5,Single,1
4,false,15,4,0,296.09963188,false,23,Phone,1,6,Debit Card,Male,3,3,Others,1,Single,1
5,false,14,2,3,181.99180554,false,25,Computer,1,7,Debit Card,Male,3,5,Laptop & Accessory,4,Married,1
3,false,21,1,0,169.35870264,false,5,Phone,3,8,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,0
2,true,14,2,5,146.23498673,false,1,Phone,3,19,Debit Card,Male,3,4,Phone,3,Single,2
4,false,11,1,6,173.67731114,false,7,Phone,2,13,UPI,Male,2,1,Fashion,4,Single,1
9,true,13,9,11,134.4421871,false,19,Phone,1,8,COD,Female,2,3,Phone,5,Single,2
2,false,13,2,3,219.4671741,false,11,Phone,3,16,E wallet,Female,3,5,Fashion,1,Married,3
2,false,18,1,0,123.53136118,false,7,Phone,1,14,CC,Male,3,1,Phone,2,Single,1
2,false,15,6,8,301.97309902,false,17,Phone,2,13,Debit Card,Male,3,2,Grocery,3,Divorced,1
4,false,16,1,7,165.45623302,false,8,Phone,3,33,Debit Card,Male,3,4,Laptop & Accessory,4,Single,1
7,false,18,2,3,159.3762955,false,12,Computer,1,32,Debit Card,Female,3,4,Phone,4,Married,2
3,false,21,2,5,153.33961631,false,8,Phone,1,9,CC,Male,4,4,Phone,5,Divorced,2
4,false,15,1,0,265.59526331,false,16,Computer,1,30,Debit Card,Male,2,3,Grocery,4,Married,0
4,false,15,1,0,118.60257301,false,25,Phone,1,7,Debit Card,Female,2,3,Phone,5,Married,1
2,false,14,1,0,122.22927432,false,9,Phone,1,34,CC,Male,2,3,Phone,1,Single,1
3,false,14,2,10,152.4435588,false,17,Phone,1,7,Debit Card,Female,4,6,Phone,5,Married,4
2,false,20,2,4,155.87690139,false,30,Phone,1,7,CC,Female,3,1,Phone,3,Married,1
2,true,15,1,9,154.81518071,false,31,Phone,1,31,Debit Card,Male,3,1,Phone,3,Divorced,1
8,false,15,1,7,122.50386979,false,9,Phone,1,8,CC,Male,2,3,Phone,4,Divorced,1
2,false,14,2,8,324.13030496,false,12,Computer,2,7,Debit Card,Male,4,4,Others,1,Married,1
3,true,12,1,0,233.29672911,false,13,Phone,1,8,Debit Card,Male,3,3,Fashion,4,Married,1
8,false,13,2,1,149.61742681,true,1,Computer,1,32,CC,Male,3,5,Phone,3,Married,1
2,false,20,2,5,243.47651398,false,9,Phone,1,6,Debit Card,Female,4,4,Fashion,4,Married,1
3,true,15,2,9,174.30987948,false,17,Phone,3,12,E wallet,Male,3,4,Laptop & Accessory,3,Married,2
5,false,18,2,3,192.39291093,false,20,Phone,1,7,CC,Female,3,4,Laptop & Accessory,3,Single,2
10,false,15,1,4,172.92981549,false,18,Computer,1,10,CC,Male,3,3,Laptop & Accessory,1,Married,0
3,false,14,8,8,172.50192809,false,1,Phone,1,28,CC,Female,4,4,Phone,4,Married,7
5,false,12,2,4,134.05577852,false,10,Computer,1,17,CC,Male,3,2,Phone,5,Married,1
3,true,14,1,2,124.17672551,false,10,Phone,3,14,UPI,Female,2,1,Phone,1,Married,0
3,false,16,2,4,156.43032269,false,7,Computer,1,12,Debit Card,Male,3,4,Phone,5,Divorced,1
1,false,12,1,1,141.76856629,false,7,Phone,3,14,E wallet,Male,3,3,Laptop & Accessory,1,Married,1
1,false,24,1,1,123.03371381,false,8,Phone,1,14,COD,Male,2,4,Phone,4,Single,0
3,true,11,9,4,289.34137375,false,23,Phone,2,11,CC,Female,3,4,Others,4,Single,1
3,false,13,7,10,159.48716236,false,15,Phone,1,9,CC,Female,2,5,Laptop & Accessory,2,Single,2
3,false,15,1,2,135.72380908,false,10,Phone,3,12,Debit Card,Male,2,4,Phone,2,Single,0
5,false,15,8,2,152.69393509,false,25,Phone,3,18,COD,Female,3,4,Phone,4,Married,1
3,false,16,1,7,142.74067708,false,19,Phone,1,14,Debit Card,Male,3,3,Laptop & Accessory,1,Married,1
1,true,14,1,0,117.75210669,false,9,Phone,1,8,CC,Male,3,3,Phone,5,Married,0
4,true,20,2,5,184.65804186,false,20,Phone,3,25,E wallet,Female,4,4,Laptop & Accessory,5,Single,1
3,true,12,6,7,150.39740305,true,3,Phone,1,14,CC,Male,4,4,Phone,5,Single,8
3,false,14,1,0,283.99232674,false,14,Phone,1,6,Debit Card,Female,3,3,Grocery,3,Married,1
3,false,11,1,3,150.23825728,false,8,Computer,1,28,Debit Card,Male,2,3,Laptop & Accessory,3,Married,1
3,false,12,2,2,232.59880098,false,26,Phone,3,16,E wallet,Male,3,3,Grocery,3,Single,5
3,true,12,8,6,178.75368116,true,1,Computer,3,13,Debit Card,Female,3,6,Laptop & Accessory,5,Married,7
9,false,19,2,3,172.09112366,false,14,Phone,3,33,CC,Male,4,4,Laptop & Accessory,1,Single,2
